FXALX34816,10/2/2017,0
FXALX56584,10/1/2017,0
FXAUS20937,10/4/2017,0
FXAUS41476,10/2/2017,0
FXAUS42228,10/2/2017,0
FXAUS42732,10/2/2017,0
FXAUS497,10/2/2017,0
FXAUS52245,10/1/2017,0
FXAUS52511,10/3/2017,0
FXAUS52696,10/4/2017,0
FXAUS52937,10/3/2017,0
FXAUS62351,10/10/2017,0
FXAUS82642,10/1/2017,0
FXAUS82961,10/5/2017,0
FXAUS92334,10/3/2017,0
FXBEA89633,10/3/2017,0
FXBEA91056,10/3/2017,0
FXBRL51152,10/1/2017,0
FXBRL51226,10/2/2017,0
FXCOC49478,10/4/2017,0
FXCOC49605,10/1/2017,0
FXDAL23368,10/4/2017,0
FXDAL53586,10/4/2017,0
FXDAL83913,10/7/2017,0
FXDAL9266,10/10/2017,0
FXDEN32135,10/2/2017,0
FXDRL35094,10/5/2017,0
FXDRL36593,10/4/2017,0
FXDRL46272,10/2/2017,0
FXDRL46760,10/3/2017,0
FXDRL46773,10/3/2017,0
FXDRL66919,10/3/2017,0
FXELP30333,10/3/2017,0
FXELP30513,10/1/2017,0
FXELP30673,10/4/2017,0
FXELP50439,10/3/2017,0
FXFL180181,10/2/2017,0
FXFW59469,10/1/2017,0
FXFW59527,10/4/2017,0
FXHOU48665,10/2/2017,0
FXHOU48918,10/5/2017,0
FXHOU8748,10/2/2017,0
FXHOU93524,10/4/2017,0
FXLAF47222,10/5/2017,0
FXLUB39606,10/1/2017,0
FXNEUROAAS,10/3/2017,0
FXNOR65128,10/6/2017,0
FXNOR65478,10/3/2017,0
FXSAN30037,10/2/2017,0
FXSAN6649,10/3/2017,0
FXSAN71580,10/1/2017,0
FXSHR35419,10/3/2017,0
FXTUL35903,10/7/2017,0
FXVAL29174,10/4/2017,0
FXVEG54060,10/3/2017,0
FXVEG54915,10/4/2017,0
FXVEG80272,10/1/2017,0
FXVEG80615,10/5/2017,0
FXVIC17049,10/3/2017,0
SANBAP,10/1/2017,0
